Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity consumption,Units
1990,2923.917,TWh
1991,3069.715,TWh
1992,3082.005,TWh
1993,3187.003,TWh
1994,3277.277,TWh
1995,3370.975,TWh
1996,3462.871,TWh
1997,3514.503,TWh
1998,3628.794,TWh
1999,3706.173,TWh
2000,3857.457,TWh
2001,3717.88,TWh
2002,3824.317,TWh
2003,3860.609,TWh
2004,3920.25,TWh
2005,4049.93,TWh
2006,4052.974,TWh
2007,4114.051,TWh
2008,4154.966,TWh
2009,3961.56,TWh
2010,4143.407,TWh
2011,4127.198,TWh
2012,4069.169,TWh
2013,4108.643,TWh
2014,4138.262,TWh
2015,4128.507,TWh
2016,4153.733,TWh
2017,4116.629,TWh
2018,4288.759,TWh
2019,4186.693,TWh
2020,4109.389,TWh
2021,4169.876,TWh
2022,4291.954,TWh
